,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
0,0,Other,AMv,0.0,0.0,0.0,0.0,34.0,0.0,27.3498200000015,baseline_0-5
1,1,Other,AMv,0.0,0.0,0.0,0.0,55.0,0.0,27.3498200000015,baseline_0-5
2,4,Other,AMv,0.0,0.0,0.0,0.0,521.0,0.0,27.3498200000015,baseline_0-5
3,6,Other,AMv,0.0,0.0,0.0,0.0,413.0,0.0,27.3498200000015,baseline_0-5
4,7,Other,AMv,0.0,0.0,0.0,0.0,217.0,0.0,27.3498200000015,baseline_0-5
5,8,Other,AMv,1.0,0.03656331193404363,4.0,4.0,97.0,0.041237113402061855,27.3498200000015,baseline_0-5
6,9,Other,AMv,0.0,0.0,0.0,0.0,210.0,0.0,27.3498200000015,baseline_0-5
7,10,Other,AMv,0.0,0.0,0.0,0.0,309.0,0.0,27.3498200000015,baseline_0-5
8,11,Other,AMv,0.0,0.0,0.0,0.0,52.0,0.0,27.3498200000015,baseline_0-5
9,15,Other,AMv,0.0,0.0,0.0,0.0,215.0,0.0,27.3498200000015,baseline_0-5
10,17,Other,AMv,0.0,0.0,0.0,0.0,154.0,0.0,27.3498200000015,baseline_0-5
11,18,Other,AMv,0.0,0.0,0.0,0.0,652.0,0.0,27.3498200000015,baseline_0-5
12,22,Other,AMd,0.0,0.0,0.0,0.0,179.0,0.0,27.3498200000015,baseline_0-5
13,23,Other,AMd,0.0,0.0,0.0,0.0,124.0,0.0,27.3498200000015,baseline_0-5
14,24,Other,AMd,0.0,0.0,0.0,0.0,62.0,0.0,27.3498200000015,baseline_0-5
15,27,Other,AMd,2.0,0.07312662386808726,14.0,7.0,380.0,0.03684210526315789,27.3498200000015,baseline_0-5
16,29,Other,AMd,0.0,0.0,0.0,0.0,485.0,0.0,27.3498200000015,baseline_0-5
17,30,Other,AMd,0.0,0.0,0.0,0.0,79.0,0.0,27.3498200000015,baseline_0-5
18,33,Other,AMd,0.0,0.0,0.0,0.0,181.0,0.0,27.3498200000015,baseline_0-5
19,34,Other,AMd,0.0,0.0,0.0,0.0,53.0,0.0,27.3498200000015,baseline_0-5
20,35,Other,AMd,4.0,0.1462532477361745,14.0,3.5,402.0,0.03482587064676617,27.3498200000015,baseline_0-5
21,39,Other,AMd,0.0,0.0,0.0,0.0,283.0,0.0,27.3498200000015,baseline_0-5
22,41,Other,AMd,1.0,0.03656331193404363,6.0,6.0,101.0,0.0594059405940594,27.3498200000015,baseline_0-5
23,42,Other,AMd,2.0,0.07312662386808726,8.0,4.0,156.0,0.05128205128205128,27.3498200000015,baseline_0-5
24,44,Other,AMd,1.0,0.03656331193404363,3.0,3.0,451.0,0.0066518847006651885,27.3498200000015,baseline_0-5
25,46,Other,AMd,0.0,0.0,0.0,0.0,273.0,0.0,27.3498200000015,baseline_0-5
26,47,Other,AMd,4.0,0.1462532477361745,12.0,3.0,324.0,0.037037037037037035,27.3498200000015,baseline_0-5
27,50,Other,AMd,0.0,0.0,0.0,0.0,286.0,0.0,27.3498200000015,baseline_0-5
28,51,Other,AMd,0.0,0.0,0.0,0.0,658.0,0.0,27.3498200000015,baseline_0-5
