,unit_id,brain_area,location,total_spikes,firing_rate,rest_duration,bin
0,0,Thalamus,VAL,219,2.4819807067365267,88.23598000000402,baseline_0-5
1,1,Thalamus,VAL,9,0.10199920712615862,88.23598000000402,baseline_0-5
2,5,Thalamus,VAL,39,0.44199656421335404,88.23598000000402,baseline_0-5
3,7,Thalamus,VAL,196,2.22131606630301,88.23598000000402,baseline_0-5
4,10,Thalamus,VAL,116,1.3146564474038223,88.23598000000402,baseline_0-5
5,14,Thalamus,VAL,13,0.147332188071118,88.23598000000402,baseline_0-5
6,17,Thalamus,VAL,1913,21.68049813692683,88.23598000000402,baseline_0-5
7,18,Thalamus,VAL,186,2.1079836139406116,88.23598000000402,baseline_0-5
8,20,Thalamus,VAL,117,1.325989692640062,88.23598000000402,baseline_0-5
9,21,Thalamus,VAL,3048,34.54373148005905,88.23598000000402,baseline_0-5
10,22,Thalamus,VAL,228,2.5839799138626853,88.23598000000402,baseline_0-5
11,23,Thalamus,VAL,3715,42.10300605263103,88.23598000000402,baseline_0-5
12,24,Thalamus,VAL,2142,24.275811296025754,88.23598000000402,baseline_0-5
13,28,Thalamus,VAL,354,4.011968813628906,88.23598000000402,baseline_0-5
14,32,Thalamus,VAL,83,0.9406593546079073,88.23598000000402,baseline_0-5
15,39,Thalamus,VAL,2987,33.85240352064842,88.23598000000402,baseline_0-5
16,40,Thalamus,VAL,321,3.637971720832991,88.23598000000402,baseline_0-5
17,43,Thalamus,VAL,807,9.145928905645556,88.23598000000402,baseline_0-5
18,44,Thalamus,VAL,1927,21.839163570234184,88.23598000000402,baseline_0-5
19,48,Thalamus,VAL,583,6.607281972727831,88.23598000000402,baseline_0-5
20,49,Thalamus,VAL,530,6.006619975207119,88.23598000000402,baseline_0-5
21,50,Thalamus,VAL,1,0.011333245236239848,88.23598000000402,baseline_0-5
22,53,Thalamus,VAL,1446,16.38787261160282,88.23598000000402,baseline_0-5
23,54,Thalamus,VAL,434,4.918628432528093,88.23598000000402,baseline_0-5
24,55,Thalamus,VAL,218,2.470647461500287,88.23598000000402,baseline_0-5
25,56,Thalamus,VAL,1203,13.633894019196536,88.23598000000402,baseline_0-5
26,57,Thalamus,VAL,151,1.711320030672217,88.23598000000402,baseline_0-5
27,60,Thalamus,VAL,469,5.315292015796488,88.23598000000402,baseline_0-5
28,61,Thalamus,VAL,401,4.544631339732179,88.23598000000402,baseline_0-5
29,63,Thalamus,VAL,747,8.465934191471167,88.23598000000402,baseline_0-5
30,66,Thalamus,VAL,503,5.700622353828643,88.23598000000402,baseline_0-5
31,68,Thalamus,VAL,1845,20.90983746086252,88.23598000000402,baseline_0-5
32,71,Thalamus,VAL,2493,28.25378037394594,88.23598000000402,baseline_0-5
33,72,Thalamus,VAL,689,7.808605967769255,88.23598000000402,baseline_0-5
34,73,Thalamus,VAL,288,3.263974628037076,88.23598000000402,baseline_0-5
35,77,Thalamus,VAL,2799,31.721753416235334,88.23598000000402,baseline_0-5
36,78,Thalamus,VAL,1414,16.025208764043143,88.23598000000402,baseline_0-5
37,79,Thalamus,VAL,2090,23.68648254374128,88.23598000000402,baseline_0-5
38,80,Thalamus,VAL,501,5.677955863356163,88.23598000000402,baseline_0-5
39,81,Thalamus,VAL,1618,18.337190792236072,88.23598000000402,baseline_0-5
40,82,Thalamus,VAL,2101,23.811148241339918,88.23598000000402,baseline_0-5
41,83,Thalamus,VAL,1908,21.62383191074563,88.23598000000402,baseline_0-5
42,85,Thalamus,VAL,1042,11.80924153616192,88.23598000000402,baseline_0-5
43,86,Thalamus,VAL,2074,23.505150619961444,88.23598000000402,baseline_0-5
44,87,Thalamus,VAL,2143,24.28714454126199,88.23598000000402,baseline_0-5
45,88,Thalamus,VAL,1534,17.385198192391925,88.23598000000402,baseline_0-5
46,89,Thalamus,VAL,8416,95.38059190819456,88.23598000000402,baseline_0-5
47,91,Thalamus,PO,1498,16.977201363887293,88.23598000000402,baseline_0-5
48,92,Thalamus,PO,363,4.113968020755064,88.23598000000402,baseline_0-5
49,95,Thalamus,PO,1637,18.55252245172463,88.23598000000402,baseline_0-5
50,96,Thalamus,PO,774,8.771931812849642,88.23598000000402,baseline_0-5
51,97,Thalamus,PO,3654,41.4116780932204,88.23598000000402,baseline_0-5
52,100,Thalamus,PO,1558,17.65719607806168,88.23598000000402,baseline_0-5
53,101,Thalamus,PO,2853,32.333748658992285,88.23598000000402,baseline_0-5
54,102,Thalamus,PO,1,0.011333245236239848,88.23598000000402,baseline_0-5
55,103,Thalamus,PO,87,0.9859923355528667,88.23598000000402,baseline_0-5
56,106,Thalamus,PO,421,4.771296244456976,88.23598000000402,baseline_0-5
57,107,Thalamus,PO,958,10.857248936317774,88.23598000000402,baseline_0-5
58,109,Thalamus,PO,232,2.6293128948076445,88.23598000000402,baseline_0-5
59,110,Thalamus,PO,146,1.6546538044910177,88.23598000000402,baseline_0-5
60,112,Thalamus,PO,3483,39.47369315782339,88.23598000000402,baseline_0-5
61,113,Thalamus,PO,966,10.947914898207692,88.23598000000402,baseline_0-5
62,114,Thalamus,PO,1266,14.347888469079647,88.23598000000402,baseline_0-5
63,115,Thalamus,PO,518,5.870621032372241,88.23598000000402,baseline_0-5
64,116,Thalamus,PO,1847,20.932503951334997,88.23598000000402,baseline_0-5
