,unit_id,brain_area,location,total_spikes,firing_rate,rest_duration,bin
0,0,Thalamus,CM,539,6.689314360170236,80.57627000000684,baseline_0-5
1,1,Thalamus,CM,470,5.832982837254195,80.57627000000684,baseline_0-5
2,4,Thalamus,CM,231,2.8668490115015297,80.57627000000684,baseline_0-5
3,5,Thalamus,CM,198,2.457299152715597,80.57627000000684,baseline_0-5
4,6,Thalamus,CM,557,6.912705192235291,80.57627000000684,baseline_0-5
5,7,Thalamus,CM,698,8.66260004341155,80.57627000000684,baseline_0-5
6,8,Thalamus,CM,347,4.306478818142991,80.57627000000684,baseline_0-5
7,9,Thalamus,CM,177,2.196676515306367,80.57627000000684,baseline_0-5
8,10,Thalamus,CM,10,0.12410601781391904,80.57627000000684,baseline_0-5
9,11,Thalamus,CM,439,5.448254182031046,80.57627000000684,baseline_0-5
10,12,Thalamus,MD,302,3.748001737980355,80.57627000000684,baseline_0-5
11,15,Thalamus,MD,82,1.0176693460741362,80.57627000000684,baseline_0-5
12,16,Thalamus,MD,208,2.581405170529516,80.57627000000684,baseline_0-5
13,18,Thalamus,MD,307,3.8100547468873147,80.57627000000684,baseline_0-5
14,20,Thalamus,MD,644,7.992427547216386,80.57627000000684,baseline_0-5
15,21,Thalamus,MD,736,9.134202911104442,80.57627000000684,baseline_0-5
16,24,Thalamus,MD,182,2.2587295242133267,80.57627000000684,baseline_0-5
17,25,Thalamus,MD,848,10.524190310620336,80.57627000000684,baseline_0-5
18,26,Thalamus,MD,292,3.623895720166436,80.57627000000684,baseline_0-5
19,28,Thalamus,MD,661,8.203407777500049,80.57627000000684,baseline_0-5
20,29,Thalamus,MD,17,0.21098023028366236,80.57627000000684,baseline_0-5
21,30,Thalamus,MD,914,11.3432900281922,80.57627000000684,baseline_0-5
22,31,Thalamus,MD,215,2.6682793829992595,80.57627000000684,baseline_0-5
23,32,Thalamus,MD,836,10.375263089243631,80.57627000000684,baseline_0-5
24,34,Thalamus,MD,169,2.0973917010552316,80.57627000000684,baseline_0-5
25,35,Thalamus,MD,192,2.382835542027246,80.57627000000684,baseline_0-5
26,36,Thalamus,MD,323,4.008624375389585,80.57627000000684,baseline_0-5
27,39,Thalamus,MD,428,5.311737562435735,80.57627000000684,baseline_0-5
28,41,Thalamus,MD,493,6.118426678226209,80.57627000000684,baseline_0-5
29,42,Thalamus,MD,635,7.880732131183859,80.57627000000684,baseline_0-5
30,43,Thalamus,MD,1101,13.664072561312487,80.57627000000684,baseline_0-5
31,44,Thalamus,MD,1276,15.83592787305607,80.57627000000684,baseline_0-5
32,45,Thalamus,MD,778,9.655448185922902,80.57627000000684,baseline_0-5
33,46,Thalamus,MD,820,10.176693460741362,80.57627000000684,baseline_0-5
34,47,Thalamus,MD,537,6.664493156607453,80.57627000000684,baseline_0-5
35,48,Thalamus,MD,578,7.173327829644521,80.57627000000684,baseline_0-5
36,49,Thalamus,MD,903,11.20677340859689,80.57627000000684,baseline_0-5
37,50,Thalamus,MD,764,9.481699760983416,80.57627000000684,baseline_0-5
38,52,Thalamus,MD,410,5.088346730370681,80.57627000000684,baseline_0-5
39,54,Thalamus,MD,645,8.004838148997779,80.57627000000684,baseline_0-5
40,56,Thalamus,MD,806,10.002945035801876,80.57627000000684,baseline_0-5
41,57,Thalamus,MD,831,10.313210080336672,80.57627000000684,baseline_0-5
42,59,Thalamus,MD,1172,14.545225287791313,80.57627000000684,baseline_0-5
43,61,Thalamus,MD,877,10.8840977622807,80.57627000000684,baseline_0-5
44,62,Thalamus,MD,698,8.66260004341155,80.57627000000684,baseline_0-5
45,64,Thalamus,MD,1228,15.240218987549259,80.57627000000684,baseline_0-5
46,66,Thalamus,MD,508,6.304585704947088,80.57627000000684,baseline_0-5
47,68,Thalamus,MD,2504,31.076146860605327,80.57627000000684,baseline_0-5
48,72,Thalamus,MD,489,6.0687842711006414,80.57627000000684,baseline_0-5
49,73,Thalamus,MD,945,11.72801868341535,80.57627000000684,baseline_0-5
50,74,Thalamus,MD,543,6.738956767295804,80.57627000000684,baseline_0-5
51,75,Thalamus,MD,874,10.846865956936524,80.57627000000684,baseline_0-5
52,77,Thalamus,MD,947,11.752839886978133,80.57627000000684,baseline_0-5
