,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
0,0,Thalamus,MD,2,0.008957956725902163,4,2.0,487,0.008213552361396304,223.2652000000121,baseline_0-5
1,1,Thalamus,MD,0,0.0,0,0.0,1030,0.0,223.2652000000121,baseline_0-5
2,5,Thalamus,MD,0,0.0,0,0.0,4526,0.0,223.2652000000121,baseline_0-5
3,6,Thalamus,MD,0,0.0,0,0.0,123,0.0,223.2652000000121,baseline_0-5
4,8,Thalamus,MD,0,0.0,0,0.0,7611,0.0,223.2652000000121,baseline_0-5
5,10,Thalamus,MD,0,0.0,0,0.0,22004,0.0,223.2652000000121,baseline_0-5
6,15,Thalamus,MD,15,0.06718467544426622,41,2.7333333333333334,1292,0.03173374613003096,223.2652000000121,baseline_0-5
7,16,Thalamus,MD,3,0.013436935088853245,5,1.6666666666666667,88,0.056818181818181816,223.2652000000121,baseline_0-5
8,21,Thalamus,MD,1,0.004478978362951081,1,1.0,854,0.00117096018735363,223.2652000000121,baseline_0-5
9,22,Thalamus,MD,0,0.0,0,0.0,2523,0.0,223.2652000000121,baseline_0-5
10,23,Thalamus,MD,0,0.0,0,0.0,1499,0.0,223.2652000000121,baseline_0-5
11,24,Thalamus,MD,1,0.004478978362951081,1,1.0,406,0.0024630541871921183,223.2652000000121,baseline_0-5
12,26,Thalamus,MD,0,0.0,0,0.0,412,0.0,223.2652000000121,baseline_0-5
13,28,Thalamus,MD,5,0.02239489181475541,9,1.8,4140,0.002173913043478261,223.2652000000121,baseline_0-5
14,29,Thalamus,MD,2,0.008957956725902163,4,2.0,1323,0.0030234315948601664,223.2652000000121,baseline_0-5
15,30,Thalamus,MD,0,0.0,0,0.0,1921,0.0,223.2652000000121,baseline_0-5
16,38,Thalamus,MD,0,0.0,0,0.0,218,0.0,223.2652000000121,baseline_0-5
17,39,Thalamus,MD,8,0.03583182690360865,16,2.0,900,0.017777777777777778,223.2652000000121,baseline_0-5
18,41,Thalamus,MD,0,0.0,0,0.0,14,0.0,223.2652000000121,baseline_0-5
19,44,Thalamus,MD,13,0.05822671871836406,25,1.9230769230769231,307,0.08143322475570032,223.2652000000121,baseline_0-5
20,45,Thalamus,MD,3,0.013436935088853245,5,1.6666666666666667,3778,0.0013234515616728428,223.2652000000121,baseline_0-5
21,46,Thalamus,MD,3,0.013436935088853245,7,2.3333333333333335,672,0.010416666666666666,223.2652000000121,baseline_0-5
22,47,Thalamus,MD,2,0.008957956725902163,3,1.5,602,0.0049833887043189366,223.2652000000121,baseline_0-5
