,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
0,0,Thalamus,VAL,0,0.0,0,0.0,2685,0.0,171.1199999999999,baseline_0-5
1,2,Thalamus,VAL,0,0.0,0,0.0,3831,0.0,171.1199999999999,baseline_0-5
2,3,Thalamus,VAL,2,0.011687704534829367,3,1.5,361,0.008310249307479225,171.1199999999999,baseline_0-5
3,6,Thalamus,VAL,1,0.005843852267414683,2,2.0,640,0.003125,171.1199999999999,baseline_0-5
4,7,Thalamus,VAL,0,0.0,0,0.0,1713,0.0,171.1199999999999,baseline_0-5
5,8,Thalamus,VAL,0,0.0,0,0.0,3916,0.0,171.1199999999999,baseline_0-5
6,11,Thalamus,VAL,0,0.0,0,0.0,3526,0.0,171.1199999999999,baseline_0-5
7,12,Thalamus,VAL,0,0.0,0,0.0,2696,0.0,171.1199999999999,baseline_0-5
8,13,Thalamus,VAL,1,0.005843852267414683,2,2.0,3867,0.000517196793379881,171.1199999999999,baseline_0-5
9,15,Thalamus,VAL,0,0.0,0,0.0,1572,0.0,171.1199999999999,baseline_0-5
10,16,Thalamus,VAL,0,0.0,0,0.0,2348,0.0,171.1199999999999,baseline_0-5
11,18,Thalamus,VAL,0,0.0,0,0.0,1881,0.0,171.1199999999999,baseline_0-5
12,19,Thalamus,VAL,2,0.011687704534829367,4,2.0,2644,0.0015128593040847202,171.1199999999999,baseline_0-5
13,23,Thalamus,VAL,0,0.0,0,0.0,1100,0.0,171.1199999999999,baseline_0-5
14,26,Thalamus,VAL,1,0.005843852267414683,2,2.0,3503,0.0005709391949757351,171.1199999999999,baseline_0-5
15,28,Thalamus,VAL,3,0.01753155680224405,7,2.3333333333333335,1944,0.00360082304526749,171.1199999999999,baseline_0-5
16,29,Thalamus,VAL,0,0.0,0,0.0,2937,0.0,171.1199999999999,baseline_0-5
17,30,Thalamus,VAL,0,0.0,0,0.0,760,0.0,171.1199999999999,baseline_0-5
18,34,Thalamus,VAL,1,0.005843852267414683,2,2.0,1778,0.0011248593925759281,171.1199999999999,baseline_0-5
19,36,Thalamus,AV,0,0.0,0,0.0,1948,0.0,171.1199999999999,baseline_0-5
20,37,Thalamus,AV,0,0.0,0,0.0,2843,0.0,171.1199999999999,baseline_0-5
21,38,Thalamus,AV,0,0.0,0,0.0,980,0.0,171.1199999999999,baseline_0-5
22,39,Thalamus,VAL,0,0.0,0,0.0,608,0.0,171.1199999999999,baseline_0-5
23,43,Thalamus,AV,1,0.005843852267414683,2,2.0,2160,0.000925925925925926,171.1199999999999,baseline_0-5
24,44,Thalamus,AV,0,0.0,0,0.0,2417,0.0,171.1199999999999,baseline_0-5
25,45,Thalamus,AV,0,0.0,0,0.0,165,0.0,171.1199999999999,baseline_0-5
26,46,Thalamus,AV,0,0.0,0,0.0,1248,0.0,171.1199999999999,baseline_0-5
27,47,Thalamus,AV,0,0.0,0,0.0,980,0.0,171.1199999999999,baseline_0-5
